---------------------------------
|A              | D             |
---------------------------------
|922            | 11191         |
|640            | 11191         |
|775            | 11191         |
|-551           | 11191         |
|-952           | 11191         |
|-354           | 11191         |
|-497           | 11191         |
|411            | 11191         |
|-900           | 11191         |
|858            | 11191         |
|922            | 11191         |
|-952           | 11191         |
|922            | 14421         |
|640            | 14421         |
|775            | 14421         |
|-551           | 14421         |
|-952           | 14421         |
|-354           | 14421         |
|-497           | 14421         |
|411            | 14421         |
|-900           | 14421         |
|858            | 14421         |
|922            | 14421         |
|-952           | 14421         |
|922            | 5117          |
|640            | 5117          |
|775            | 5117          |
|-551           | 5117          |
|-952           | 5117          |
|-354           | 5117          |
|-497           | 5117          |
|411            | 5117          |
|-900           | 5117          |
|858            | 5117          |
|922            | 5117          |
|-952           | 5117          |
|922            | 13393         |
|640            | 13393         |
|775            | 13393         |
|-551           | 13393         |
|-952           | 13393         |
|-354           | 13393         |
|-497           | 13393         |
|411            | 13393         |
|-900           | 13393         |
|858            | 13393         |
|922            | 13393         |
|-952           | 13393         |
|922            | 16116         |
|640            | 16116         |
|775            | 16116         |
|-551           | 16116         |
|-952           | 16116         |
|-354           | 16116         |
|-497           | 16116         |
|411            | 16116         |
|-900           | 16116         |
|858            | 16116         |
|922            | 16116         |
|-952           | 16116         |
|922            | 5403          |
|640            | 5403          |
|775            | 5403          |
|-551           | 5403          |
|-952           | 5403          |
|-354           | 5403          |
|-497           | 5403          |
|411            | 5403          |
|-900           | 5403          |
|858            | 5403          |
|922            | 5403          |
|-952           | 5403          |
|922            | 6309          |
|640            | 6309          |
|775            | 6309          |
|-551           | 6309          |
|-952           | 6309          |
|-354           | 6309          |
|-497           | 6309          |
|411            | 6309          |
|-900           | 6309          |
|858            | 6309          |
|922            | 6309          |
|-952           | 6309          |
|922            | 12262         |
|640            | 12262         |
|775            | 12262         |
|-551           | 12262         |
|-952           | 12262         |
|-354           | 12262         |
|-497           | 12262         |
|411            | 12262         |
|-900           | 12262         |
|858            | 12262         |
|922            | 12262         |
|-952           | 12262         |
|922            | 10226         |
|640            | 10226         |
|775            | 10226         |
|-551           | 10226         |
|-952           | 10226         |
|-354           | 10226         |
|-497           | 10226         |
|411            | 10226         |
|-900           | 10226         |
|858            | 10226         |
|922            | 10226         |
|-952           | 10226         |
|922            | 13021         |
|640            | 13021         |
|775            | 13021         |
|-551           | 13021         |
|-952           | 13021         |
|-354           | 13021         |
|-497           | 13021         |
|411            | 13021         |
|-900           | 13021         |
|858            | 13021         |
|922            | 13021         |
|-952           | 13021         |
|922            | 11191         |
|640            | 11191         |
|775            | 11191         |
|-551           | 11191         |
|-952           | 11191         |
|-354           | 11191         |
|-497           | 11191         |
|411            | 11191         |
|-900           | 11191         |
|858            | 11191         |
|922            | 11191         |
|-952           | 11191         |
|922            | 14421         |
|640            | 14421         |
|775            | 14421         |
|-551           | 14421         |
|-952           | 14421         |
|-354           | 14421         |
|-497           | 14421         |
|411            | 14421         |
|-900           | 14421         |
|858            | 14421         |
|922            | 14421         |
|-952           | 14421         |
---------------------------------
